id,info
1,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1992, ""wiki_qid"": null, ""artist_bio"": ""American, 1930–1992"", ""begin_date"": 1930, ""nationality"": ""American"", ""display_name"": ""Robert Arneson"", ""constituent_id"": 1}"
2,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""Spanish, born 1936"", ""begin_date"": 1936, ""nationality"": ""Spanish"", ""display_name"": ""Doroteo Arnaiz"", ""constituent_id"": 2}"
3,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""American, born 1941"", ""begin_date"": 1941, ""nationality"": ""American"", ""display_name"": ""Bill Arnold"", ""constituent_id"": 3}"
4,"{""ulan"": 500027998, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": ""Q1063584"", ""artist_bio"": ""American, born 1946"", ""begin_date"": 1946, ""nationality"": ""American"", ""display_name"": ""Charles Arnoldi"", ""constituent_id"": 4}"
5,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""Danish, born 1941"", ""begin_date"": 1941, ""nationality"": ""Danish"", ""display_name"": ""Per Arnoldi"", ""constituent_id"": 5}"
6,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""Italian, born 1925"", ""begin_date"": 1925, ""nationality"": ""Italian"", ""display_name"": ""Danilo Aroldi"", ""constituent_id"": 6}"
7,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""American, born 1941"", ""begin_date"": 1941, ""nationality"": ""American"", ""display_name"": ""Bill Aron"", ""constituent_id"": 7}"
8,"{""ulan"": 500003363, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": ""Q5230870"", ""artist_bio"": ""American, born Lithuania 1923"", ""begin_date"": 1923, ""nationality"": ""American"", ""display_name"": ""David Aronson"", ""constituent_id"": 9}"
9,"{""ulan"": 500042413, ""gender"": ""Female"", ""end_date"": 0, ""wiki_qid"": ""Q19748568"", ""artist_bio"": ""American, born Germany 1918"", ""begin_date"": 1918, ""nationality"": ""American"", ""display_name"": ""Irene Aronson"", ""constituent_id"": 10}"
10,"{""ulan"": 500031000, ""gender"": ""Male"", ""end_date"": 1966, ""wiki_qid"": ""Q153739"", ""artist_bio"": ""French, born Germany (Alsace). 1886–1966"", ""begin_date"": 1886, ""nationality"": ""French"", ""display_name"": ""Jean (Hans) Arp"", ""constituent_id"": 11}"
11,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""Estonian, born 1936"", ""begin_date"": 1936, ""nationality"": ""Estonian"", ""display_name"": ""Jüri Arrak"", ""constituent_id"": 12}"
12,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1995, ""wiki_qid"": null, ""artist_bio"": ""Mexican, 1911–1995"", ""begin_date"": 1911, ""nationality"": ""Mexican"", ""display_name"": ""J. Arrelano Fischer"", ""constituent_id"": 13}"
13,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1997, ""wiki_qid"": null, ""artist_bio"": ""Swedish, 1907–1997"", ""begin_date"": 1907, ""nationality"": ""Swedish"", ""display_name"": ""Folke Arstrom"", ""constituent_id"": 15}"
14,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1964, ""wiki_qid"": null, ""artist_bio"": ""Spanish, 1900–1964"", ""begin_date"": 1900, ""nationality"": ""Spanish"", ""display_name"": ""Cristobal Arteche"", ""constituent_id"": 16}"
15,"{""ulan"": null, ""gender"": null, ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": null, ""begin_date"": 0, ""nationality"": null, ""display_name"": ""Artko"", ""constituent_id"": 18}"
16,"{""ulan"": 500114981, ""gender"": ""Male"", ""end_date"": 2013, ""wiki_qid"": ""Q568262"", ""artist_bio"": ""American, 1923–2013"", ""begin_date"": 1923, ""nationality"": ""American"", ""display_name"": ""Richard Artschwager"", ""constituent_id"": 19}"
17,"{""ulan"": 500077806, ""gender"": ""Female"", ""end_date"": 2013, ""wiki_qid"": ""Q7382874"", ""artist_bio"": ""American, 1926–2013"", ""begin_date"": 1926, ""nationality"": ""American"", ""display_name"": ""Ruth Asawa"", ""constituent_id"": 21}"
18,"{""ulan"": null, ""gender"": ""Female"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""Israeli"", ""begin_date"": 0, ""nationality"": ""Israeli"", ""display_name"": ""Isidora Aschheim"", ""constituent_id"": 22}"
19,"{""ulan"": 500030367, ""gender"": ""Male"", ""end_date"": 1942, ""wiki_qid"": ""Q614071"", ""artist_bio"": ""British, 1863–1942"", ""begin_date"": 1863, ""nationality"": ""British"", ""display_name"": ""Charles Robert Ashbee"", ""constituent_id"": 23}"
20,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""American, born 1927"", ""begin_date"": 1927, ""nationality"": ""American"", ""display_name"": ""Donald Ashcraft"", ""constituent_id"": 24}"
21,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 1941, ""wiki_qid"": null, ""artist_bio"": ""American, 1867–1941"", ""begin_date"": 1867, ""nationality"": ""American"", ""display_name"": ""E. M. Ashe"", ""constituent_id"": 25}"
22,"{""ulan"": null, ""gender"": null, ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""Swedish, born 1940"", ""begin_date"": 1940, ""nationality"": ""Swedish"", ""display_name"": ""Göran Åslin"", ""constituent_id"": 26}"
23,"{""ulan"": 500011232, ""gender"": ""Male"", ""end_date"": 1940, ""wiki_qid"": ""Q312070"", ""artist_bio"": ""Swedish, 1885–1940"", ""begin_date"": 1885, ""nationality"": ""Swedish"", ""display_name"": ""Erik Gunnar Asplund"", ""constituent_id"": 27}"
24,"{""ulan"": 500025324, ""gender"": ""Female"", ""end_date"": 0, ""wiki_qid"": ""Q1978192"", ""artist_bio"": ""French, born 1923"", ""begin_date"": 1923, ""nationality"": ""French"", ""display_name"": ""Geneviève Asse"", ""constituent_id"": 28}"
25,"{""ulan"": null, ""gender"": ""Male"", ""end_date"": 0, ""wiki_qid"": null, ""artist_bio"": ""Italian, born 1926"", ""begin_date"": 1926, ""nationality"": ""Italian"", ""display_name"": ""Sergio Asti"", ""constituent_id"": 30}"
